count	number	factors
1	\seqsplit{9}	1, 3, 3
2	\seqsplit{49}	1, 7, 7
3	\seqsplit{143}	1, 11, 13
4	\seqsplit{551}	1, 29, 19
5	\seqsplit{3233}	1, 53, 61
6	\seqsplit{11663}	1, 107, 109
7	\seqsplit{50621}	1, 227, 223
8	\seqsplit{101617}	1, 331, 307
9	\seqsplit{615649}	1, 809, 761
10	\seqsplit{1854169}	1, 1303, 1423
11	\seqsplit{4954907}	1, 2213, 2239
12	\seqsplit{52140629}	1, 6389, 8161
13	\seqsplit{124433833}	1, 12647, 9839
14	\seqsplit{544651097}	1, 21991, 24767
15	\seqsplit{2370909979}	1, 49463, 47933
16	\seqsplit{14909151463}	1, 123209, 121007
17	\seqsplit{23492108273}	1, 164627, 142699
18	\seqsplit{139979437033}	1, 483503, 289511
19	\seqsplit{861780924353}	1, 870049, 990497
20	\seqsplit{1836467832607}	1, 1260167, 1457321
21	\seqsplit{6145242063227}	1, 2420167, 2539181
22	\seqsplit{35263383196049}	1, 8358397, 4218917
23	\seqsplit{211603722946933}	1, 15191249, 13929317
24	\seqsplit{690555681318599}	1, 22120183, 31218353
25	\seqsplit{2354768115270931}	1, 40387381, 58304551
26	\seqsplit{10524515709815509}	1, 105228511, 100015819
27	\seqsplit{35469271347158863}	1, 191062199, 185642537
28	\seqsplit{204116666094827663}	1, 487529767, 418675289
29	\seqsplit{422075674112500879}	1, 755800559, 558448481
30	\seqsplit{2117642963694787031}	1, 1895687023, 1117084697
31	\seqsplit{7302712871707479631}	1, 2560325633, 2852259407
32	\seqsplit{67646721787702298573}	1, 8220802739, 8228724607
33	\seqsplit{194967239383263797069}	1, 12949787761, 15055632029
34	\seqsplit{377916248951391898151}	1, 19144893389, 19739793859
35	\seqsplit{3152116907082197651323}	1, 48464174743, 65040144061
36	\seqsplit{5690735740278543294359}	1, 69273050309, 82149345451
37	\seqsplit{37348669355338730754557}	1, 192937964503, 193578643019
38	\seqsplit{182379465040006296703469}	1, 366780205313, 497244568813
39	\seqsplit{740035675021576430752279}	1, 832139107673, 889317264623
40	\seqsplit{1621467767655984856828349}	1, 1196156295463, 1355565132923
41	\seqsplit{5519572522682415067561399}	1, 2481611063383, 2224189198753
42	\seqsplit{46332129644074366155279907}	1, 6919101704399, 6696263709293
43	\seqsplit{140505798989565858871072807}	1, 9962837674843, 14102989888549
44	\seqsplit{739183508214265801484442949}	1, 22366391621261, 33048849395609
45	\seqsplit{1634079085510008367171987151}	1, 37337028415619, 43765643781829
46	\seqsplit{12593630947792621856215490773}	1, 105007431995513, 119930853545021
47	\seqsplit{58508070557320015547197140151}	1, 248525894898427, 235420419997813
48	\seqsplit{202739680938946359595878036913}	1, 509219106218003, 398138401452971
49	\seqsplit{689574790076973667294480257281}	1, 942281391942967, 731814080139143
50	\seqsplit{1949907766443191753963055660461}	1, 1570361150046071, 1241693839908091
51	\seqsplit{8489347585915818242829281843339}	1, 2516251199875337, 3373807665282547
52	\seqsplit{41187443491111694438447039647847}	1, 4887714224420297, 8426729059839151
53	\seqsplit{156459358642545737735512275734353}	1, 10496899304135149, 14905292897390197
54	\seqsplit{605087173965195078628199214146389}	1, 31467627177146113, 19228878318624853
55	\seqsplit{3859457453763851973223323911571301}	1, 59558844968537527, 64800743798887363
56	\seqsplit{7248187272527260607223951331592729}	1, 74877794598982747, 96800223769220507
57	\seqsplit{45105672648389253325310422267569571}	1, 203318050008452497, 221847851907462643
58	\seqsplit{161405370219590218800049142558598881}	1, 536101115446072597, 301072625236546973
59	\seqsplit{461405812545633164103290110362119653}	1, 795516191436818143, 580008072132720571
60	\seqsplit{3787113430887652026126242676547419979}	1, 1850855849976765139, 2046141751630843561
