count	number	factors
2	\seqsplit{865712929}	1, 29423, 29423
2	\seqsplit{865712929}	1, 29423, 29423
3	\seqsplit{25454551017407}	1, 29411, 29437, 29401
3	\seqsplit{25454551017407}	1, 29401, 29437, 29411
4	\seqsplit{748949254585166161}	1, 29411, 29437, 29401, 29423
4	\seqsplit{749815315379647091}	1, 29423, 29429, 29411, 29443
5	\seqsplit{22042301982094473596467}	1, 29389, 29437, 29401, 29453, 29423
5	\seqsplit{22037819908204262231501}	1, 29411, 29453, 29399, 29423, 29411
6	\seqsplit{647625188777536523967038123}	1, 29389, 29437, 29387, 29429, 29399, 29443
6	\seqsplit{648727214546027169234119857}	1, 29411, 29443, 29401, 29443, 29399, 29437
7	\seqsplit{19047305219120345130931560910901}	1, 29401, 29437, 29399, 29437, 29401, 29437, 29383
7	\seqsplit{19122506962371043582760416155121}	1, 29423, 29473, 29399, 29483, 29399, 29423, 29411
8	\seqsplit{562143099156355627345058252853193301}	1, 29423, 29443, 29363, 29483, 29411, 29429, 29383, 29473
8	\seqsplit{562829942618851054761838008402259709}	1, 29363, 29483, 29401, 29501, 29401, 29443, 29399, 29453
9	\seqsplit{16549917550139176331089539530499288572021}	1, 29389, 29437, 29423, 29501, 29347, 29443, 29383, 29527, 29399
9	\seqsplit{16494942489066181415143190513104903497931}	1, 29387, 29443, 29387, 29501, 29383, 29473, 29347, 29443, 29387
10	\seqsplit{483818446645921223916066574454799803265926869}	1, 29399, 29443, 29383, 29423, 29411, 29423, 29347, 29443, 29387, 29423
10	\seqsplit{490367376997778494257114997680532736329945909}	1, 29387, 29483, 29401, 29501, 29423, 29531, 29389, 29501, 29389, 29473
11	\seqsplit{14298066897873419916925610084596585019684404299577}	1, 29363, 29437, 29339, 29443, 29333, 29531, 29411, 29537, 29347, 29483, 29411
11	\seqsplit{14320484452966964226830269428065419115967575823307}	1, 29399, 29527, 29389, 29537, 29399, 29501, 29383, 29423, 29347, 29443, 29333
12	\seqsplit{422988549701602021708072490756282881304545627458255859}	1, 29363, 29453, 29401, 29453, 29389, 29567, 29423, 29531, 29363, 29429, 29423, 29423
12	\seqsplit{423761271786225112222217862150288564714519017380395689}	1, 29411, 29537, 29401, 29483, 29383, 29537, 29339, 29473, 29411, 29527, 29333, 29437
13	\seqsplit{12293239381581520625704123339024990495993226167931711051791}	1, 29363, 29443, 29347, 29537, 29401, 29423, 29347, 29531, 29311, 29423, 29311, 29443, 29399
13	\seqsplit{12451198379061059764624491385115885732898863931874087138687}	1, 29363, 29569, 29347, 29429, 29339, 29567, 29423, 29483, 29363, 29527, 29423, 29483, 29339
14	\seqsplit{366249931054054855918254086215217231707917666117006778977380909}	1, 29347, 29569, 29423, 29443, 29333, 29527, 29387, 29567, 29399, 29429, 29327, 29527, 29339, 29453
14	\seqsplit{367896370789011152412608731303715436991394396657947014758999489}	1, 29303, 29501, 29399, 29537, 29387, 29567, 29389, 29473, 29311, 29527, 29399, 29483, 29399, 29527
15	\seqsplit{10644894953985381764687625074094294366413635557060109122838940666171}	1, 29297, 29443, 29333, 29453, 29311, 29527, 29311, 29527, 29387, 29527, 29303, 29567, 29383, 29453, 29311
15	\seqsplit{10685620363611581349723712362560065711947054666446884334157352103099}	1, 29399, 29453, 29399, 29531, 29399, 29443, 29311, 29453, 29297, 29531, 29297, 29573, 29389, 29473, 29297
16	\seqsplit{318513253747377908211654512553364042173627257881988069391587768229583691}	1, 29423, 29501, 29423, 29537, 29401, 29573, 29399, 29501, 29311, 29429, 29363, 29483, 29303, 29423, 29411, 29569
16	\seqsplit{318010433938975531069970467031819358831170737214531625647265186479508697}	1, 29347, 29573, 29327, 29423, 29333, 29501, 29327, 29443, 29387, 29581, 29423, 29573, 29399, 29537, 29347, 29483
17	\seqsplit{9274924513456323558811589191670119099925691334742148666185537727889128732529}	1, 29423, 29599, 29269, 29531, 29339, 29483, 29333, 29443, 29333, 29537, 29387, 29443, 29399, 29453, 29311, 29599, 29287
17	\seqsplit{9306534270861220085725248728885553486460012328605762858906957840590239358497}	1, 29389, 29567, 29363, 29423, 29269, 29483, 29423, 29437, 29363, 29567, 29333, 29581, 29399, 29527, 29339, 29537, 29269
