count	number	factors
2	\seqsplit{4063375517}	1, 78439, 51803
3	\seqsplit{522742080565357}	1, 71167, 82051, 89521
4	\seqsplit{52187387971275982093}	1, 89753, 95717, 64693, 93901
5	\seqsplit{1162300682477934084344741}	1, 65183, 73883, 57397, 78803, 53359
6	\seqsplit{188904463700616439184603915519}	1, 77339, 67523, 99577, 59333, 64577, 94811
7	\seqsplit{10382597739368109104150090934175379}	1, 88321, 75787, 62417, 55117, 56179, 83399, 96233
8	\seqsplit{2236854499510418655753593501324101562419}	1, 91433, 96221, 73477, 94543, 80489, 73063, 67619, 92041
9	\seqsplit{35042439864356271632594896096225381140303727}	1, 93077, 63391, 71261, 50909, 67979, 75307, 54403, 61007, 96353
10	\seqsplit{9938019912957784649301000808068798240941672975269}	1, 94793, 50909, 88667, 75377, 74231, 75553, 99571, 86509, 89959, 70901
11	\seqsplit{187109892613625880027947942540002116725379107367853319}	1, 53611, 60659, 85313, 88609, 71089, 75133, 53267, 66851, 99041, 80603, 50129
12	\seqsplit{49161767109869991125387613590249904971687586373477597553749}	1, 88211, 97073, 79111, 80777, 51859, 99767, 84869, 80963, 75937, 91369, 52027, 70009
13	\seqsplit{986007145146192555084662271727905179607731398501077146686982027}	1, 88241, 72559, 86239, 92459, 57097, 63647, 96167, 54541, 67219, 70439, 50123, 66083, 64609
14	\seqsplit{122656733660163473018814025422928703405374994772383697825517039916327}	1, 68389, 86539, 63493, 56377, 61001, 60217, 85361, 58393, 65701, 99251, 94049, 70289, 77711, 94397
15	\seqsplit{7842053712205825701754260824788620754149912403029793155702700015604989373}	1, 81101, 82387, 92399, 88903, 67567, 60037, 96797, 60161, 58229, 58243, 76333, 84181, 67927, 58403, 69959
16	\seqsplit{414983958423876613281406476811736161578168944722930828312908133102632845752703}	1, 92083, 56477, 94573, 67187, 83177, 88471, 52951, 55579, 71597, 66179, 59671, 59729, 69481, 97583, 54623, 92717
17	\seqsplit{53002745697331794043197162487408577583597259117156412795445234494802005531541655757}	1, 51949, 81689, 71089, 81737, 60659, 93179, 70489, 90547, 62189, 92647, 64123, 75239, 90841, 88129, 74653, 57119, 62791
18	\seqsplit{2774325281122485998802780772219788618613994707680106838689326624193111749855341451994853}	1, 62081, 94229, 70313, 50513, 69247, 67531, 74903, 84827, 75037, 57697, 58789, 78779, 50909, 88819, 99923, 90353, 59627, 92077
19	\seqsplit{81814093803623318906242340014181655977264794640309240515571248892045623493330471152004211349}	1, 63629, 76597, 60761, 85223, 63611, 82039, 75431, 52501, 77351, 54547, 60139, 80387, 51721, 59093, 65537, 66587, 81817, 91961, 76631
20	\seqsplit{4759420676774002917027080074804196749925026162216764903500438803531064867662815998548224047575111}	1, 51193, 63617, 74827, 77239, 65761, 71011, 82613, 77719, 99709, 85213, 95959, 54787, 56503, 53503, 61553, 60689, 67033, 64513, 58831, 65713
