count	number	factors
2	\seqsplit{187186702751}	1, 590377, 317063
3	\seqsplit{227610837550458559}	1, 345461, 887483, 742393
4	\seqsplit{70258793277571237647233}	1, 899981, 280607, 312353, 890683
5	\seqsplit{28721678110719749295143472251}	1, 252323, 322589, 562259, 826169, 759623
6	\seqsplit{16584959865789562307773297581668989}	1, 526199, 772097, 347519, 284857, 826759, 498779
7	\seqsplit{40135231725177170651266451927317370040017}	1, 689917, 363037, 462571, 805559, 561367, 823201, 930571
8	\seqsplit{13543477157075511779696540916677807232136281983}	1, 369841, 369079, 898481, 593171, 673613, 333197, 874127, 948901
9	\seqsplit{21868276789400720715203792286586485297210926281696241}	1, 508867, 666031, 911839, 521657, 319981, 592597, 776357, 947389, 972611
10	\seqsplit{3398638008982066688531884463264580936942051180990210108323}	1, 655243, 756373, 805219, 655859, 563197, 592087, 467101, 333331, 364031, 687023
11	\seqsplit{9136943238414668122038298815310911346194279867410940342650742671}	1, 741457, 386333, 423887, 741869, 752281, 938323, 933847, 548567, 636953, 986351, 446477
12	\seqsplit{38071366054007302601960554011850986602984984747338895665946437878377453}	1, 779189, 507691, 750961, 875417, 967427, 371251, 857737, 943073, 943363, 895087, 761861, 783283
13	\seqsplit{368625134734142995123626326808047577046599110832420111833822347712566666853}	1, 409063, 634079, 260263, 620887, 744407, 440183, 971171, 755737, 654679, 556093, 968593, 293483, 353359
14	\seqsplit{350789352401366415305072032960473921257900088976055701075698491956756257404655481}	1, 746483, 585587, 530851, 555349, 751259, 378949, 404843, 937823, 447683, 444817, 511289, 644291, 603731, 635879
15	\seqsplit{431463623920866689805584050956253221308032437458060677109830929906624804391812275410793}	1, 533747, 682333, 828067, 484751, 446261, 578687, 977147, 283831, 564979, 690163, 836863, 327017, 693403, 794153, 701257
16	\seqsplit{3090895415152262211627476518158103729565126064320269607944002601270807904266490336040532453091}	1, 729761, 596009, 627481, 812963, 576757, 711679, 825983, 955613, 911593, 587959, 700759, 767623, 268979, 651821, 858763, 990523
17	\seqsplit{1881182900515253077657544850252234921978522056443095815660055032303071363462608086772712619979929}	1, 765283, 360959, 399181, 468653, 287849, 481297, 382351, 711727, 261917, 846983, 754463, 346711, 346217, 541201, 990377, 338027, 265261
18	\seqsplit{23169284855147410245104557782459930672656640958302012768111347982308836202807150642723443947428384991983}	1, 428899, 979543, 314243, 947819, 441121, 954277, 304709, 620717, 427877, 399689, 415343, 289181, 985063, 883429, 840979, 488011, 665153, 476587
19	\seqsplit{14148962297868150427488880128423453856260378948237916062898523907220089968114112210934057887773724022523805637}	1, 289249, 679417, 535481, 947539, 832757, 934537, 424829, 280451, 990893, 300319, 404321, 384547, 424223, 340387, 624097, 839207, 793999, 901717, 610837
20	\seqsplit{729883933457870363432152113700293245237626872643614401017049987282050216103044544786654875010234935256140803954547}	1, 704321, 342799, 581447, 842249, 257837, 938219, 255349, 266009, 265709, 725341, 452033, 692717, 464923, 648007, 795307, 476659, 314399, 367687, 518579, 909203
