count	number	factors
2	\seqsplit{316933}	1, 557, 569
2	\seqsplit{313591}	1, 557, 563
3	\seqsplit{171534277}	1, 557, 563, 547
3	\seqsplit{173971709}	1, 557, 571, 547
4	\seqsplit{94758693241}	1, 541, 569, 541, 569
4	\seqsplit{100381676093}	1, 557, 571, 547, 577
5	\seqsplit{56670957560149}	1, 563, 587, 563, 563, 541
5	\seqsplit{55737645509339}	1, 563, 563, 547, 571, 563
6	\seqsplit{33960079475671199}	1, 557, 563, 547, 593, 563, 593
6	\seqsplit{28590087506703829}	1, 541, 593, 521, 569, 521, 577
7	\seqsplit{16668687877305357367}	1, 547, 593, 547, 593, 547, 569, 509
7	\seqsplit{14895421562352162947}	1, 523, 563, 523, 587, 541, 563, 541
8	\seqsplit{8825598186724532340139}	1, 503, 577, 563, 601, 503, 593, 503, 599
8	\seqsplit{8056030357210311798593}	1, 509, 571, 541, 563, 509, 587, 541, 563
9	\seqsplit{5176371113800439756757811}	1, 523, 569, 503, 593, 547, 587, 547, 607, 547
9	\seqsplit{4307414133054528902898431}	1, 547, 577, 503, 569, 547, 569, 503, 563, 541
10	\seqsplit{2472832340955827717218826729}	1, 499, 571, 541, 599, 491, 577, 563, 569, 491, 601
10	\seqsplit{2584284171184513506455410453}	1, 503, 613, 509, 599, 563, 569, 499, 607, 491, 577
11	\seqsplit{1910856948409986584271742351543}	1, 521, 577, 547, 563, 563, 577, 541, 617, 563, 607, 557
11	\seqsplit{1332882535090650712169308963739}	1, 487, 613, 547, 613, 503, 563, 487, 617, 557, 563, 499
12	\seqsplit{852196735493924940848986241767987}	1, 541, 613, 487, 617, 491, 587, 523, 613, 523, 563, 523, 601
12	\seqsplit{752546528211330815497003845481997}	1, 479, 593, 503, 587, 491, 587, 503, 607, 541, 587, 547, 587
13	\seqsplit{413424284293138931542565906706071669}	1, 491, 587, 487, 617, 541, 607, 487, 587, 557, 617, 479, 571, 541
13	\seqsplit{422612439674921629650938136476012611}	1, 523, 569, 541, 577, 541, 571, 523, 613, 487, 569, 563, 563, 523
14	\seqsplit{457153207646831573744181522153370927673}	1, 547, 619, 547, 641, 563, 607, 547, 593, 563, 631, 509, 619, 503, 617
14	\seqsplit{259918970541028265619885810519171604529}	1, 557, 631, 541, 593, 487, 563, 503, 619, 503, 617, 467, 631, 503, 587
15	\seqsplit{109868336528703352227207124944087831704269}	1, 463, 599, 509, 631, 467, 617, 487, 643, 563, 563, 487, 607, 541, 563, 479
15	\seqsplit{142219206797328060675174570040656920579167}	1, 479, 613, 547, 587, 557, 601, 479, 587, 499, 571, 479, 643, 563, 593, 547
16	\seqsplit{76820202531067992349805610678707511043871803}	1, 547, 587, 509, 569, 491, 613, 491, 607, 547, 601, 487, 643, 487, 617, 463, 643
16	\seqsplit{84353082637098915851350715686631411152617919}	1, 499, 593, 541, 613, 523, 601, 557, 593, 491, 587, 521, 587, 491, 599, 521, 613
17	\seqsplit{29867711038615093175665393861938141536525529539}	1, 541, 607, 479, 577, 557, 599, 467, 647, 463, 577, 461, 607, 499, 617, 457, 617, 503
17	\seqsplit{32160416498806182862863819430142025959220975101}	1, 449, 613, 509, 631, 461, 613, 499, 601, 541, 599, 461, 617, 487, 631, 503, 599, 503
18	\seqsplit{19956848495929281188644811212469947126676084328359}	1, 449, 601, 563, 659, 467, 587, 461, 577, 509, 659, 467, 577, 479, 641, 499, 653, 503, 601
18	\seqsplit{21117036798239547259422495410311750799350659014713}	1, 487, 593, 541, 571, 449, 601, 487, 643, 521, 617, 463, 619, 457, 659, 503, 563, 541, 659
19	\seqsplit{13264396535897727373516274848984084788966136163607509}	1, 503, 613, 461, 659, 461, 659, 563, 569, 461, 647, 521, 653, 523, 607, 449, 631, 541, 631, 467
19	\seqsplit{12747441328106451238259995492136682019426946134615741}	1, 461, 593, 503, 619, 479, 653, 521, 659, 563, 641, 541, 617, 457, 571, 499, 607, 439, 599, 557
20	\seqsplit{5156986434929461169796816182749562003267982133556328449}	1, 463, 571, 439, 661, 433, 607, 457, 617, 509, 641, 467, 659, 457, 661, 557, 661, 499, 619, 439, 599
20	\seqsplit{4889610655414411472658135732868818020771788946718976949}	1, 503, 673, 487, 569, 479, 617, 491, 653, 457, 613, 461, 563, 479, 673, 509, 569, 433, 571, 487, 673
2	\seqsplit{1142761}	1, 1069, 1069
2	\seqsplit{1136347}	1, 1063, 1069
3	\seqsplit{1228276303}	1, 1063, 1087, 1063
3	\seqsplit{1235209189}	1, 1063, 1087, 1069
4	\seqsplit{1334677393237}	1, 1063, 1093, 1051, 1093
4	\seqsplit{1332235165619}	1, 1063, 1091, 1051, 1093
5	\seqsplit{1402629106625399}	1, 1063, 1091, 1049, 1097, 1051
5	\seqsplit{1418937909399427}	1, 1069, 1093, 1051, 1087, 1063
6	\seqsplit{1597798805102350891}	1, 1069, 1093, 1063, 1097, 1069, 1097
6	\seqsplit{1520005874460943489}	1, 1069, 1069, 1061, 1087, 1061, 1087
7	\seqsplit{1603168127794699290541}	1, 1063, 1103, 1051, 1109, 1033, 1093, 1039
7	\seqsplit{1612842382725010293011}	1, 1033, 1097, 1069, 1091, 1049, 1109, 1049
8	\seqsplit{1718598263073818570384887}	1, 1031, 1097, 1069, 1091, 1063, 1093, 1049, 1069
8	\seqsplit{1757529589061923699888087}	1, 1049, 1097, 1063, 1087, 1039, 1093, 1061, 1097
9	\seqsplit{1824913317720944628804183853}	1, 1051, 1109, 1033, 1097, 1063, 1091, 1051, 1091, 1039
9	\seqsplit{1766115859678499030090922409}	1, 1061, 1091, 1063, 1069, 1033, 1091, 1039, 1091, 1051
10	\seqsplit{2044146205511432560530644353003}	1, 1061, 1123, 1019, 1093, 1069, 1087, 1039, 1109, 1019, 1129
10	\seqsplit{2023343565385497662573424982849}	1, 1049, 1069, 1049, 1129, 1051, 1117, 1039, 1093, 1069, 1069
11	\seqsplit{2138146560514888959638653203727999}	1, 1033, 1093, 1033, 1117, 1049, 1093, 1061, 1129, 1069, 1097, 1019
11	\seqsplit{2047088725942481982714204169717471}	1, 1061, 1123, 1031, 1123, 1019, 1069, 1051, 1069, 1061, 1069, 1069
12	\seqsplit{2353583186144653289501714282050393409}	1, 1049, 1087, 1021, 1153, 1049, 1103, 1051, 1093, 1051, 1091, 1019, 1129
12	\seqsplit{2275159985769061830987258016478931859}	1, 1063, 1097, 1031, 1103, 1063, 1103, 1021, 1091, 1051, 1109, 1009, 1117
13	\seqsplit{2492097436003839540838892538978283235653}	1, 1039, 1103, 1039, 1117, 1039, 1123, 1051, 1093, 1019, 1069, 1069, 1123, 1069
13	\seqsplit{2083445330217309788943292916425765482277}	1, 1039, 1091, 1013, 1123, 1031, 1097, 1033, 1093, 1019, 1123, 1021, 1069, 1013
14	\seqsplit{3026567709449547952359333008027322113358461}	1, 1061, 1117, 1033, 1109, 1061, 1153, 1013, 1117, 1051, 1087, 1013, 1153, 1069, 1129
14	\seqsplit{2882599589709110224249733588127180959062163}	1, 1013, 1097, 1033, 1109, 1063, 1123, 1063, 1087, 1063, 1151, 1061, 1109, 1049, 1087
15	\seqsplit{2784085616184428897659292570343329087575063793}	1, 1039, 1163, 997, 1087, 1009, 1109, 1009, 1151, 997, 1093, 1031, 1181, 1039, 1151, 1031
15	\seqsplit{2623289042257046506415381707180861391182863277}	1, 991, 1091, 997, 1129, 1069, 1163, 1049, 1093, 1021, 1093, 1019, 1091, 1051, 1091, 1063
16	\seqsplit{3309498666165362973713994449803606500505059524969}	1, 1051, 1103, 1049, 1151, 1021, 1129, 1063, 1109, 1063, 1103, 1009, 1151, 983, 1091, 1061, 1123
16	\seqsplit{3007559565989492190685682333633142659992222889983}	1, 991, 1153, 1013, 1103, 1069, 1109, 1039, 1151, 983, 1153, 1051, 1123, 983, 1109, 1033, 1103
17	\seqsplit{3337430374387820187766404846559737967472421425519377}	1, 1061, 1193, 1009, 1171, 1069, 1097, 971, 1093, 1061, 1091, 1019, 1187, 1033, 1109, 983, 1103, 1031
17	\seqsplit{3009463694645099549214603933901886663401681206188531}	1, 1031, 1091, 1039, 1163, 1019, 1151, 1061, 1129, 1069, 1123, 1013, 1069, 977, 1109, 1019, 1117, 983
18	\seqsplit{3205474017206716910525999363197509384671530933913244179}	1, 1069, 1093, 991, 1163, 991, 1103, 971, 1087, 1061, 1069, 1039, 1087, 1063, 1091, 1019, 1087, 1051, 1193
18	\seqsplit{3838143684519378674624606833998765033603759339155011169}	1, 1049, 1097, 991, 1193, 1021, 1151, 1069, 1093, 1021, 1181, 977, 1103, 1069, 1093, 1061, 1201, 977, 1087
19	\seqsplit{3630505250586537380826457274577452415857434807088548791649}	1, 1021, 1109, 1009, 1153, 967, 1163, 1009, 1123, 953, 1201, 1021, 1093, 997, 1171, 1033, 1109, 1019, 1171, 1061
19	\seqsplit{3328634472598003887835597528525093350883513224862826212061}	1, 971, 1091, 1039, 1201, 1031, 1213, 1061, 1153, 997, 1103, 953, 1153, 977, 1091, 997, 1097, 1039, 1151, 977
20	\seqsplit{3055878534232886887533008275157224451264024556815840381056001}	1, 977, 1117, 977, 1117, 983, 1187, 971, 1093, 971, 1087, 1069, 1109, 953, 1097, 1051, 1093, 1069, 1193, 991, 1091
