count	number	factors
2	\seqsplit{9505247}	1, 1427, 6661
3	\seqsplit{112377214483}	1, 4451, 7607, 3319
4	\seqsplit{113332156404307}	1, 4007, 3539, 2903, 2753
5	\seqsplit{4298836929253947781}	1, 8429, 7417, 5039, 1867, 7309
6	\seqsplit{11038759956959519253043}	1, 4909, 7307, 1597, 3733, 7243, 7127
7	\seqsplit{353271001154438218427229539}	1, 8167, 2687, 5483, 7253, 5807, 7127, 9781
8	\seqsplit{858069121139663326922589137543}	1, 9137, 9463, 3967, 8737, 4349, 5003, 2243, 5867
9	\seqsplit{131563435713374902721110800493303}	1, 5923, 6907, 8317, 1151, 1787, 5479, 9929, 2287, 1511
10	\seqsplit{2528123531806453766378415166939107671}	1, 9749, 2069, 5879, 8377, 2683, 2267, 4919, 3637, 4703, 4973
11	\seqsplit{98861961050577963648512453904444483679}	1, 1283, 2203, 9533, 1303, 2239, 1523, 5009, 1429, 4253, 2791, 9719
12	\seqsplit{3699719069641057612942949836474926656811572189}	1, 9133, 9967, 5879, 6547, 8929, 2351, 8681, 6857, 9719, 7583, 3461, 3313
13	\seqsplit{9297901936182093694009454599759344878967851169253}	1, 3947, 8599, 3109, 4999, 5581, 8629, 5953, 8069, 6829, 9677, 5197, 8059, 2753
14	\seqsplit{2987283285112052856777637490953875990300408162464831}	1, 1523, 7043, 1889, 7507, 6133, 3253, 3797, 1877, 3463, 7253, 9281, 7243, 8837, 9257
15	\seqsplit{14046255291904838561381033780082793879910682609073503319}	1, 2003, 9479, 8677, 4733, 1279, 3947, 5431, 9421, 9059, 9377, 4817, 1663, 3221, 8111, 3923
16	\seqsplit{1672833210619559517657260567204379601678267615743624567961}	1, 9883, 6067, 1559, 1009, 7069, 2213, 8713, 1601, 9491, 7369, 1327, 6701, 3359, 6871, 2039, 2777
17	\seqsplit{212010140415468603762770884867770164189873990478028538128651543}	1, 7757, 1721, 9343, 2521, 6793, 8017, 8117, 2879, 6491, 3637, 3319, 3677, 5711, 7681, 3433, 2087, 5851
18	\seqsplit{29763544558056708909351290167863189328280637881745015028766377567}	1, 3793, 3323, 7841, 9949, 1181, 6659, 5171, 2011, 1861, 3547, 2887, 2131, 4801, 2243, 2141, 5843, 9349, 7237
19	\seqsplit{183733102700898942618853672482178977569632673473846394890208044869833}	1, 1861, 6997, 1459, 7103, 8191, 6883, 1499, 1123, 2069, 8563, 4091, 7699, 4027, 5813, 2099, 8803, 5821, 2753, 3709
20	\seqsplit{4315581732420458239176904986420389625324862838223258879737740116751534309}	1, 4933, 9473, 2753, 7949, 1223, 1213, 1447, 9689, 2647, 7177, 4421, 7883, 7883, 4673, 7253, 4787, 2713, 8929, 2693, 3673
