count	number	factors
2	\seqsplit{187}	1, 11, 17
2	\seqsplit{221}	1, 13, 17
3	\seqsplit{1463}	1, 11, 19, 7
3	\seqsplit{1183}	1, 13, 13, 7
4	\seqsplit{23023}	1, 11, 23, 7, 13
4	\seqsplit{18515}	1, 5, 23, 7, 23
5	\seqsplit{161733}	1, 11, 13, 13, 29, 3
5	\seqsplit{252655}	1, 5, 23, 13, 13, 13
6	\seqsplit{1154725}	1, 5, 13, 5, 17, 11, 19
6	\seqsplit{955695}	1, 5, 29, 13, 13, 3, 13
7	\seqsplit{7743087}	1, 3, 31, 11, 29, 3, 29, 3
7	\seqsplit{40602639}	1, 11, 29, 11, 19, 7, 29, 3
8	\seqsplit{107279613}	1, 3, 23, 3, 23, 7, 37, 3, 29
8	\seqsplit{283487325}	1, 3, 17, 11, 41, 5, 17, 5, 29
9	\seqsplit{935717625}	1, 5, 43, 5, 29, 3, 23, 3, 29, 5
9	\seqsplit{878332455}	1, 7, 17, 5, 31, 11, 13, 3, 37, 3
10	\seqsplit{24451456575}	1, 3, 17, 7, 13, 5, 43, 13, 29, 5, 13
10	\seqsplit{1748802168425}	1, 13, 41, 5, 47, 13, 41, 5, 31, 13, 13
11	\seqsplit{6148592793}	1, 3, 19, 3, 31, 3, 19, 7, 19, 3, 17, 3
11	\seqsplit{433954018575}	1, 3, 29, 5, 23, 11, 47, 5, 47, 7, 17, 3
12	\seqsplit{2336441234985}	1, 13, 37, 5, 19, 11, 13, 3, 41, 3, 19, 3, 17
12	\seqsplit{6169110180975}	1, 3, 41, 3, 29, 7, 31, 5, 19, 7, 47, 5, 17
13	\seqsplit{19600594410375}	1, 5, 29, 3, 37, 11, 29, 5, 19, 3, 47, 5, 19, 3
13	\seqsplit{27464992644375}	1, 3, 13, 11, 47, 5, 13, 5, 29, 3, 47, 5, 41, 5
14	\seqsplit{979848317369025}	1, 5, 23, 3, 59, 5, 17, 13, 59, 3, 23, 3, 29, 3, 41
14	\seqsplit{16313742837926625}	1, 5, 23, 13, 61, 5, 53, 3, 31, 5, 43, 7, 53, 7, 13
15	\seqsplit{276612138433767825}	1, 3, 41, 13, 67, 3, 67, 5, 41, 3, 53, 13, 43, 5, 47, 3
15	\seqsplit{480388899282435}	1, 11, 29, 3, 29, 3, 31, 5, 13, 3, 29, 3, 23, 3, 53, 3
16	\seqsplit{13042072935932625}	1, 3, 31, 5, 23, 3, 31, 3, 19, 3, 31, 3, 13, 5, 43, 5, 59
16	\seqsplit{382555146521019375}	1, 3, 29, 5, 61, 3, 71, 3, 23, 5, 61, 5, 19, 3, 37, 5, 61
17	\seqsplit{3312499880682759375}	1, 5, 19, 3, 47, 5, 47, 5, 29, 7, 79, 3, 73, 3, 47, 5, 17, 5
17	\seqsplit{1706485929231344625}	1, 13, 67, 5, 43, 5, 53, 3, 19, 3, 47, 3, 17, 3, 17, 7, 47, 5
18	\seqsplit{1174450948827771103125}	1, 5, 31, 3, 23, 5, 13, 5, 23, 7, 79, 5, 59, 5, 19, 13, 71, 13, 79
18	\seqsplit{201675564824001357375}	1, 5, 31, 13, 19, 3, 67, 5, 37, 5, 61, 3, 23, 3, 71, 13, 13, 11, 17
19	\seqsplit{2896784440836584878125}	1, 5, 73, 5, 67, 5, 53, 5, 23, 13, 41, 7, 73, 5, 17, 3, 41, 7, 13, 3
19	\seqsplit{1890142883084170567125}	1, 3, 67, 3, 13, 5, 29, 3, 79, 3, 47, 3, 79, 13, 61, 7, 17, 5, 89, 5
20	\seqsplit{65022163146983219653125}	1, 5, 43, 5, 59, 3, 61, 3, 97, 5, 59, 13, 31, 3, 83, 3, 29, 5, 23, 5, 13
20	\seqsplit{32369441131223583393825}	1, 5, 29, 3, 97, 13, 19, 3, 41, 3, 71, 3, 53, 3, 37, 7, 17, 3, 53, 5, 71
2	\seqsplit{961}	1, 31, 31
2	\seqsplit{1147}	1, 31, 37
3	\seqsplit{33263}	1, 29, 37, 31
3	\seqsplit{27869}	1, 31, 31, 29
4	\seqsplit{494209}	1, 19, 37, 19, 37
4	\seqsplit{847757}	1, 29, 41, 23, 31
5	\seqsplit{14253769}	1, 17, 43, 17, 37, 31
5	\seqsplit{21859867}	1, 31, 31, 23, 43, 23
6	\seqsplit{272897651}	1, 13, 47, 17, 47, 13, 43
6	\seqsplit{424808137}	1, 19, 43, 13, 37, 23, 47
7	\seqsplit{7642399589}	1, 11, 43, 23, 43, 17, 31, 31
7	\seqsplit{8418710641}	1, 31, 47, 11, 53, 11, 53, 17
8	\seqsplit{705261876527}	1, 19, 47, 13, 61, 23, 43, 19, 53
8	\seqsplit{343508150821}	1, 19, 43, 11, 61, 29, 41, 17, 31
9	\seqsplit{5001316620355}	1, 5, 61, 17, 53, 11, 53, 31, 53, 19
9	\seqsplit{298235183875}	1, 5, 59, 19, 41, 5, 37, 5, 61, 23
10	\seqsplit{10840457019117}	1, 11, 37, 3, 31, 11, 37, 17, 53, 11, 71
10	\seqsplit{32246166582465}	1, 11, 67, 3, 41, 5, 53, 19, 43, 31, 53
11	\seqsplit{131104352392575}	1, 17, 47, 29, 73, 17, 53, 3, 31, 5, 37, 5
11	\seqsplit{318821990728325}	1, 31, 53, 19, 37, 5, 31, 5, 41, 7, 73, 17
12	\seqsplit{8917467228811725}	1, 29, 41, 5, 79, 3, 41, 23, 31, 5, 43, 19, 53
12	\seqsplit{2047407165326187}	1, 23, 31, 7, 53, 3, 41, 19, 71, 3, 71, 3, 73
13	\seqsplit{6224134475718818659}	1, 13, 47, 11, 71, 23, 83, 23, 37, 17, 67, 19, 53, 7
13	\seqsplit{51245303801837145}	1, 17, 53, 7, 83, 7, 73, 11, 43, 13, 31, 5, 67, 3
14	\seqsplit{108043090363342428225}	1, 5, 73, 29, 59, 19, 71, 31, 61, 3, 83, 5, 47, 19, 61
14	\seqsplit{3926065196602313399917}	1, 17, 47, 23, 83, 19, 61, 23, 31, 17, 71, 29, 53, 23, 73
15	\seqsplit{22027411283540928125}	1, 23, 83, 5, 31, 23, 47, 5, 89, 5, 71, 7, 47, 5, 53, 5
15	\seqsplit{177118086912132284625}	1, 3, 59, 7, 89, 23, 89, 5, 71, 29, 53, 23, 61, 5, 41, 5
16	\seqsplit{23707258426609810843125}	1, 5, 101, 23, 83, 17, 89, 5, 67, 5, 71, 29, 97, 5, 79, 3, 41
16	\seqsplit{2031893035845148045125}	1, 3, 47, 3, 41, 5, 73, 5, 67, 23, 71, 19, 73, 19, 73, 5, 61
17	\seqsplit{36236921442400155709375}	1, 5, 71, 5, 101, 19, 67, 5, 41, 23, 43, 11, 79, 13, 47, 5, 59, 5
17	\seqsplit{95484403968664676886375}	1, 31, 31, 5, 89, 3, 47, 5, 83, 13, 67, 29, 53, 5, 37, 31, 71, 7
18	\seqsplit{68449749435915415117875}	1, 13, 101, 23, 59, 3, 43, 5, 41, 3, 31, 13, 43, 3, 67, 5, 83, 5, 67
18	\seqsplit{19589478089411820609060525}	1, 5, 107, 3, 97, 23, 47, 29, 31, 5, 89, 19, 103, 3, 31, 17, 83, 11, 103
19	\seqsplit{17459425383139545183002625}	1, 5, 53, 3, 61, 5, 101, 13, 73, 19, 59, 7, 103, 11, 101, 5, 41, 11, 53, 7
19	\seqsplit{253868269728472313813110875}	1, 5, 59, 3, 67, 5, 67, 29, 41, 13, 109, 19, 47, 13, 73, 31, 43, 5, 79, 17
20	\seqsplit{10019176560312034400567595}	1, 3, 47, 3, 83, 5, 47, 19, 103, 29, 41, 3, 31, 3, 61, 3, 43, 3, 79, 17, 59
20	\seqsplit{215947535722966231822673332275}	1, 5, 109, 17, 43, 23, 47, 23, 79, 11, 83, 17, 113, 17, 61, 17, 83, 3, 107, 5, 67
