count	number	factors
2	\seqsplit{481}	1, 13, 37
3	\seqsplit{31093}	1, 31, 17, 59
4	\seqsplit{1213045}	1, 37, 5, 83, 79
5	\seqsplit{15001613}	1, 31, 37, 29, 11, 41
6	\seqsplit{3429238769}	1, 47, 97, 59, 11, 19, 61
7	\seqsplit{206397809105}	1, 37, 79, 5, 53, 41, 67, 97
8	\seqsplit{7311461300687}	1, 41, 23, 73, 41, 59, 83, 23, 23
9	\seqsplit{472213574958521}	1, 41, 53, 37, 47, 61, 11, 71, 61, 43
10	\seqsplit{3443187949695}	1, 29, 43, 83, 5, 73, 41, 13, 3, 19, 3
11	\seqsplit{309773094336642695}	1, 5, 97, 11, 31, 83, 97, 31, 89, 43, 53, 37
12	\seqsplit{62263002262083735}	1, 47, 83, 17, 41, 59, 59, 43, 3, 7, 47, 31, 5
13	\seqsplit{666536544405580303}	1, 31, 23, 7, 47, 23, 67, 37, 37, 19, 13, 41, 19, 7
14	\seqsplit{56142059257389353853}	1, 3, 37, 11, 37, 19, 97, 11, 31, 53, 31, 67, 11, 71, 23
15	\seqsplit{3173389011480824657829}	1, 3, 79, 59, 53, 31, 7, 23, 43, 73, 11, 71, 3, 71, 31, 53
16	\seqsplit{15863359163742166197825}	1, 37, 3, 19, 61, 5, 11, 79, 79, 67, 3, 71, 5, 71, 97, 43, 17
17	\seqsplit{3839358256056932827602345}	1, 67, 17, 29, 19, 53, 41, 19, 19, 37, 73, 89, 13, 5, 53, 3, 73, 43
18	\seqsplit{18710317739887802052740556555}	1, 97, 89, 89, 83, 59, 5, 79, 59, 73, 13, 11, 31, 31, 29, 3, 89, 67, 41
19	\seqsplit{155903632515187552359018988575}	1, 97, 43, 47, 89, 97, 11, 73, 73, 61, 3, 37, 29, 61, 73, 5, 5, 67, 29, 37
20	\seqsplit{53620794966136160429097776631}	1, 23, 3, 79, 23, 43, 89, 61, 59, 3, 23, 71, 41, 97, 13, 11, 17, 37, 29, 47, 13
